School,Origninal Seed,Reseed,Diffrence
Gonzaga,1,1,0
Gerogia State,16,9,7
Bosie State,8,15,-7
Memphis,9,3,6
UCONN,5,5,0
New Mexico State,12,13,-1
Arkansas,4,7,-3
Vermont,13,4,9
Alabama,6,6,0
Notre Dame,11,12,-1
Montana State,14,14,0
Texas Tech,3,8,-5
Michigan State,7,10,-3
Davidson,10,11,-1
CS Fullerton,15,16,-1
Duke,2,2,0
Baylor,1,3,-2
Norfolk State,16,10,5
North Carolina,8,4,4
Marquette,9,5,4
St Marys,6,12,-6
indiana ,12,11,1
UCLA,4,7,-3
Akron,13,16,-3
Virgina Tech,11,8,3
Texas ,6,14,-8
Purdue,3,2,1
Yale,14,15,-1
Murray State,7,1,6
San Fransico,10,6,4
Kentucky,2,8,-6
St Peters,15,13,2
Arizona,1,1,0
Wright State,16,13,3
Seton Hall,8,12,-4
TCU,9,16,-7
Houston,5,2,3
UAB,12,3,6
Illionis,4,10,-6
Chatanooga,13,11,2
Colorado St,6,6,0
Micigan,11,7,4
Tennesse,3,4,-1
Longwood,14,5,9
Loyola Chicago,7,8,-1
Ohio State,10,9,1
Villanova,2,15,-13
Delaware,15,4,1
Kansas,1,4,-3
Texas Southern,16,4,2
San Diego State,8,12,-4
Creighton,9,13,-5
Iowa,5,1,4
Richmond,12,10,2
Providence,4,11,-7
South Dakota State,13,3,10
LSU,6,9,-3
Iowa State,11,15,-4
Wisconson,3,16,-13
Colgate,14,2,12
USC,7,7,0
Miami,10,5,5
Auburn,2,6,-4
Jacksonville State,15,8,7
